t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.963696,-0.677435,-2.177435,0.822565,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-1.713122,-2.182582,-3.682582,-0.682582,price_sensitive_uninformed,buy_from_mm,-0.682582,-1,-0.682582,1.030540,0.010000,1.020540
3,0.013542,-1.064270,-2.564270,0.435730,informed,none,0.000000,-1,-0.682582,-0.696124,0.010000,-0.706124
4,0.361228,1.846425,0.346425,3.346425,price_sensitive_uninformed,buy_from_mm,3.346425,-2,2.663843,1.941387,0.040000,1.901387
5,1.239022,0.584066,-0.915934,2.084066,price_sensitive_uninformed,none,0.000000,-2,2.663843,0.185799,0.040000,0.145799
6,1.111275,0.319591,-1.180409,1.819591,price_sensitive_uninformed,none,0.000000,-2,2.663843,0.441294,0.040000,0.401294
7,0.782856,0.927131,-0.572869,2.427131,informed,none,0.000000,-2,2.663843,1.098131,0.040000,1.058131
8,0.798268,0.185523,-1.314477,1.685523,informed,none,0.000000,-2,2.663843,1.067307,0.040000,1.027307
9,0.370828,0.242666,-1.257334,1.742666,price_sensitive_uninformed,none,0.000000,-2,2.663843,1.922187,0.040000,1.882187
10,-0.182686,-0.350076,-1.850076,1.149924,price_sensitive_uninformed,none,0.000000,-2,2.663843,3.029215,0.040000,2.989215
11,0.763887,1.198182,-0.301818,2.698182,informed,none,0.000000,-2,2.663843,1.136069,0.040000,1.096069
12,0.585022,-0.528638,-2.028638,0.971362,price_sensitive_uninformed,none,0.000000,-2,2.663843,1.493799,0.040000,1.453799
13,2.402950,2.786276,1.286276,4.286276,price_sensitive_uninformed,buy_from_mm,4.286276,-3,6.950119,-0.258732,0.090000,-0.348732
14,1.072481,0.255857,-1.244143,1.755857,informed,none,0.000000,-3,6.950119,3.732678,0.090000,3.642678
15,1.212453,1.038443,-0.461557,2.538443,informed,none,0.000000,-3,6.950119,3.312761,0.090000,3.222761
16,2.397674,5.262410,3.762410,6.762410,price_sensitive_uninformed,sell_to_mm,3.762410,-2,3.187710,-1.607639,0.040000,-1.647639
17,4.099708,3.720061,2.220061,5.220061,price_sensitive_uninformed,buy_from_mm,5.220061,-3,8.407770,-3.891354,0.090000,-3.981354
18,1.443365,2.348008,0.848008,3.848008,price_sensitive_uninformed,sell_to_mm,0.848008,-2,7.559762,4.673033,0.040000,4.633033
19,1.896913,2.004162,0.504162,3.504162,informed,none,0.000000,-2,7.559762,3.765937,0.040000,3.725937
20,3.529340,3.840474,2.340474,5.340474,price_sensitive_uninformed,sell_to_mm,2.340474,-1,5.219288,1.689948,0.010000,1.679948
21,5.052027,6.001202,4.501202,7.501202,price_sensitive_uninformed,none,0.000000,-1,5.219288,0.167261,0.010000,0.157261
22,4.673068,2.714035,1.214035,4.214035,price_sensitive_uninformed,sell_to_mm,1.214035,0,4.005253,4.005253,0.000000,4.005253
23,4.096198,4.100457,2.600457,5.600457,informed,none,0.000000,0,4.005253,4.005253,0.000000,4.005253
24,3.680469,3.375406,1.875406,4.875406,price_sensitive_uninformed,none,0.000000,0,4.005253,4.005253,0.000000,4.005253
25,2.244606,2.407943,0.907943,3.907943,price_sensitive_uninformed,none,0.000000,0,4.005253,4.005253,0.000000,4.005253
26,2.579197,3.633599,2.133599,5.133599,informed,none,0.000000,0,4.005253,4.005253,0.000000,4.005253
27,1.945257,3.132669,1.632669,4.632669,informed,none,0.000000,0,4.005253,4.005253,0.000000,4.005253
28,2.389255,3.459499,1.959499,4.959499,informed,none,0.000000,0,4.005253,4.005253,0.000000,4.005253
29,3.435709,3.375298,1.875298,4.875298,price_sensitive_uninformed,none,0.000000,0,4.005253,4.005253,0.000000,4.005253
30,3.230725,4.793127,3.293127,6.293127,informed,sell_to_mm,3.293127,1,0.712127,3.942851,0.010000,3.932851
31,3.019320,2.928335,1.428335,4.428335,price_sensitive_uninformed,none,0.000000,1,0.712127,3.731446,0.010000,3.721446
32,2.883629,2.761447,1.261447,4.261447,price_sensitive_uninformed,none,0.000000,1,0.712127,3.595756,0.010000,3.585756
33,3.300319,2.276307,0.776307,3.776307,informed,none,0.000000,1,0.712127,4.012446,0.010000,4.002446
34,2.323858,2.108547,0.608547,3.608547,price_sensitive_uninformed,none,0.000000,1,0.712127,3.035984,0.010000,3.025984
35,2.439638,2.803053,1.303053,4.303053,price_sensitive_uninformed,none,0.000000,1,0.712127,3.151765,0.010000,3.141765
36,3.061691,3.964620,2.464620,5.464620,price_sensitive_uninformed,sell_to_mm,2.464620,2,-1.752494,4.370888,0.040000,4.330888
37,3.637188,3.143843,1.643843,4.643843,informed,none,0.000000,2,-1.752494,5.521881,0.040000,5.481881
38,4.141533,3.313118,1.813118,4.813118,price_sensitive_uninformed,none,0.000000,2,-1.752494,6.530573,0.040000,6.490573
39,4.788643,5.029352,3.529352,6.529352,price_sensitive_uninformed,buy_from_mm,6.529352,1,4.776858,9.565501,0.010000,9.555501
40,6.122665,7.200071,5.700071,8.700071,price_sensitive_uninformed,buy_from_mm,8.700071,0,13.476929,13.476929,0.000000,13.476929
41,4.114729,3.622638,2.122638,5.122638,informed,none,0.000000,0,13.476929,13.476929,0.000000,13.476929
42,5.003683,4.951629,3.451629,6.451629,price_sensitive_uninformed,none,0.000000,0,13.476929,13.476929,0.000000,13.476929
43,6.226751,5.896101,4.396101,7.396101,price_sensitive_uninformed,none,0.000000,0,13.476929,13.476929,0.000000,13.476929
