t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,1.196725,1.065217,-0.934783,3.065217,noise,sell_to_mm,-0.934783,1,0.934783,2.131508,0.010000,2.121508
2,1.791822,3.073098,1.073098,5.073098,informed,none,0.000000,1,0.934783,2.726605,0.010000,2.716605
3,1.948545,3.217932,1.217932,5.217932,noise,none,0.000000,1,0.934783,2.883328,0.010000,2.873328
4,2.566232,3.076664,1.076664,5.076664,informed,none,0.000000,1,0.934783,3.501015,0.010000,3.491015
5,1.889543,0.896103,-1.103897,2.896103,noise,buy_from_mm,2.896103,0,3.830886,3.830886,0.000000,3.830886
6,3.785841,3.348763,1.348763,5.348763,noise,buy_from_mm,5.348763,-1,9.179649,5.393808,0.010000,5.383808
7,5.393479,4.788930,2.788930,6.788930,noise,none,0.000000,-1,9.179649,3.786169,0.010000,3.776169
8,3.705129,3.328810,1.328810,5.328810,informed,none,0.000000,-1,9.179649,5.474520,0.010000,5.464520
9,3.996213,2.059182,0.059182,4.059182,noise,none,0.000000,-1,9.179649,5.183436,0.010000,5.173436
10,4.042775,5.340447,3.340447,7.340447,informed,none,0.000000,-1,9.179649,5.136874,0.010000,5.126874
11,3.150601,2.206319,0.206319,4.206319,informed,none,0.000000,-1,9.179649,6.029048,0.010000,6.019048
12,4.446249,4.997625,2.997625,6.997625,noise,none,0.000000,-1,9.179649,4.733400,0.010000,4.723400
13,3.912143,3.521999,1.521999,5.521999,informed,none,0.000000,-1,9.179649,5.267506,0.010000,5.257506
14,4.128389,3.162897,1.162897,5.162897,informed,none,0.000000,-1,9.179649,5.051260,0.010000,5.041260
15,5.110309,5.080641,3.080641,7.080641,informed,none,0.000000,-1,9.179649,4.069340,0.010000,4.059340
16,3.228659,4.207237,2.207237,6.207237,informed,none,0.000000,-1,9.179649,5.950990,0.010000,5.940990
17,3.641089,3.536223,1.536223,5.536223,informed,none,0.000000,-1,9.179649,5.538560,0.010000,5.528560
18,3.108695,3.393695,1.393695,5.393695,noise,none,0.000000,-1,9.179649,6.070954,0.010000,6.060954
19,3.162668,4.067467,2.067467,6.067467,noise,buy_from_mm,6.067467,-2,15.247116,8.921779,0.040000,8.881779
20,2.382007,3.545776,1.545776,5.545776,informed,none,0.000000,-2,15.247116,10.483102,0.040000,10.443102
21,2.175345,1.771961,-0.228039,3.771961,informed,none,0.000000,-2,15.247116,10.896426,0.040000,10.856426
22,2.364004,2.385023,0.385023,4.385023,noise,none,0.000000,-2,15.247116,10.519108,0.040000,10.479108
23,2.519494,2.872543,0.872543,4.872543,informed,none,0.000000,-2,15.247116,10.208129,0.040000,10.168129
24,1.566379,2.979414,0.979414,4.979414,informed,none,0.000000,-2,15.247116,12.114357,0.040000,12.074357
25,2.031212,-0.440935,-2.440935,1.559065,noise,none,0.000000,-2,15.247116,11.184692,0.040000,11.144692
26,3.289838,4.369449,2.369449,6.369449,informed,none,0.000000,-2,15.247116,8.667440,0.040000,8.627440
27,2.642170,1.798417,-0.201583,3.798417,noise,none,0.000000,-2,15.247116,9.962776,0.040000,9.922776
28,2.834035,2.844428,0.844428,4.844428,noise,buy_from_mm,4.844428,-3,20.091544,11.589439,0.090000,11.499439
29,4.802898,5.505525,3.505525,7.505525,noise,none,0.000000,-3,20.091544,5.682849,0.090000,5.592849
30,2.802346,1.435700,-0.564300,3.435700,noise,none,0.000000,-3,20.091544,11.684505,0.090000,11.594505
31,3.492618,2.944473,0.944473,4.944473,noise,none,0.000000,-3,20.091544,9.613692,0.090000,9.523692
32,2.793552,1.774271,-0.225729,3.774271,noise,sell_to_mm,-0.225729,-2,20.317273,14.730170,0.040000,14.690170
33,-0.290001,-1.040811,-3.040811,0.959189,informed,none,0.000000,-2,20.317273,20.897275,0.040000,20.857275
34,-0.236790,-0.596900,-2.596900,1.403100,noise,none,0.000000,-2,20.317273,20.790854,0.040000,20.750854
35,-1.238648,-1.837977,-3.837977,0.162023,informed,none,0.000000,-2,20.317273,22.794569,0.040000,22.754569
36,-0.728040,-0.674184,-2.674184,1.325816,noise,sell_to_mm,-2.674184,-1,22.991457,23.719497,0.010000,23.709497
37,-1.422817,-2.257371,-4.257371,-0.257371,informed,none,0.000000,-1,22.991457,24.414274,0.010000,24.404274
38,-1.281457,-2.581103,-4.581103,-0.581103,informed,none,0.000000,-1,22.991457,24.272914,0.010000,24.262914
39,-2.014137,-1.903697,-3.903697,0.096303,informed,none,0.000000,-1,22.991457,25.005594,0.010000,24.995594
40,-2.538188,-2.170883,-4.170883,-0.170883,noise,none,0.000000,-1,22.991457,25.529645,0.010000,25.519645
41,-2.409576,-3.267149,-5.267149,-1.267149,noise,buy_from_mm,-1.267149,-2,21.724308,26.543460,0.040000,26.503460
42,-4.141886,-4.249992,-6.249992,-2.249992,noise,sell_to_mm,-6.249992,-1,27.974300,32.116186,0.010000,32.106186
43,-5.523043,-5.418689,-7.418689,-3.418689,informed,none,0.000000,-1,27.974300,33.497343,0.010000,33.487343
44,-4.982773,-5.532206,-7.532206,-3.532206,informed,none,0.000000,-1,27.974300,32.957074,0.010000,32.947074
45,-5.363553,-4.967793,-6.967793,-2.967793,informed,none,0.000000,-1,27.974300,33.337853,0.010000,33.327853
46,-6.604538,-8.279286,-10.279286,-6.279286,noise,none,0.000000,-1,27.974300,34.578838,0.010000,34.568838
47,-8.584494,-6.784171,-8.784171,-4.784171,informed,none,0.000000,-1,27.974300,36.558794,0.010000,36.548794
48,-9.238765,-8.252112,-10.252112,-6.252112,noise,sell_to_mm,-10.252112,0,38.226413,38.226413,0.000000,38.226413
49,-8.215758,-6.817144,-8.817144,-4.817144,informed,none,0.000000,0,38.226413,38.226413,0.000000,38.226413
50,-11.207583,-12.369683,-14.369683,-10.369683,informed,none,0.000000,0,38.226413,38.226413,0.000000,38.226413
51,-11.621672,-9.909144,-11.909144,-7.909144,informed,none,0.000000,0,38.226413,38.226413,0.000000,38.226413
52,-10.164346,-9.125253,-11.125253,-7.125253,informed,none,0.000000,0,38.226413,38.226413,0.000000,38.226413
53,-8.807789,-9.432481,-11.432481,-7.432481,informed,none,0.000000,0,38.226413,38.226413,0.000000,38.226413
54,-8.983854,-7.799783,-9.799783,-5.799783,noise,sell_to_mm,-9.799783,1,48.026196,39.042342,0.010000,39.032342
55,-8.610138,-10.614604,-12.614604,-8.614604,informed,buy_from_mm,-8.614604,0,39.411592,39.411592,0.000000,39.411592
56,-7.532941,-5.649541,-7.649541,-3.649541,noise,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
57,-7.544113,-9.153155,-11.153155,-7.153155,noise,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
58,-6.566525,-6.450789,-8.450789,-4.450789,noise,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
59,-5.014647,-5.193650,-7.193650,-3.193650,noise,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
60,-5.167100,-6.532856,-8.532856,-4.532856,noise,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
61,-4.391158,-5.353651,-7.353651,-3.353651,noise,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
62,-5.612411,-4.607550,-6.607550,-2.607550,noise,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
63,-5.391374,-6.201705,-8.201705,-4.201705,informed,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
64,-4.043919,-4.908296,-6.908296,-2.908296,informed,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
65,-3.207545,-4.434520,-6.434520,-2.434520,informed,none,0.000000,0,39.411592,39.411592,0.000000,39.411592
66,-4.366045,-4.467176,-6.467176,-2.467176,noise,sell_to_mm,-6.467176,1,45.878768,41.512723,0.010000,41.502723
67,-3.903003,-2.681525,-4.681525,-0.681525,informed,none,0.000000,1,45.878768,41.975765,0.010000,41.965765
68,-4.372192,-2.267285,-4.267285,-0.267285,noise,buy_from_mm,-0.267285,0,45.611483,45.611483,0.000000,45.611483
