t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,0.110464,-0.141266,-1.391266,1.108734,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-2.853404,-3.061932,-4.311932,-1.811932,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,-0.023581,0.004971,-1.245029,1.254971,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
4,-0.607029,-0.261574,-1.511574,0.988426,noise,sell_to_mm,-1.511574,1,1.511574,0.904546,0.010000,0.894546
5,-0.622047,-0.185592,-1.435592,1.064408,informed,none,0.000000,1,1.511574,0.889527,0.010000,0.879527
6,-0.994930,-2.106278,-3.356278,-0.856278,noise,none,0.000000,1,1.511574,0.516644,0.010000,0.506644
7,-0.233653,-0.189328,-1.439328,1.060672,noise,none,0.000000,1,1.511574,1.277921,0.010000,1.267921
8,-0.413349,-0.697621,-1.947621,0.552379,informed,none,0.000000,1,1.511574,1.098226,0.010000,1.088226
9,-0.714089,-0.485147,-1.735147,0.764853,noise,none,0.000000,1,1.511574,0.797485,0.010000,0.787485
10,-1.087062,-0.580361,-1.830361,0.669639,noise,none,0.000000,1,1.511574,0.424512,0.010000,0.414512
11,-1.577524,-2.132098,-3.382098,-0.882098,informed,none,0.000000,1,1.511574,-0.065949,0.010000,-0.075949
12,-1.342205,-1.270477,-2.520477,-0.020477,informed,none,0.000000,1,1.511574,0.169370,0.010000,0.159370
13,-2.351993,-2.694473,-3.944473,-1.444473,noise,none,0.000000,1,1.511574,-0.840418,0.010000,-0.850418
14,-2.469279,-2.504603,-3.754603,-1.254603,informed,none,0.000000,1,1.511574,-0.957705,0.010000,-0.967705
15,-0.910018,-0.936189,-2.186189,0.313811,noise,none,0.000000,1,1.511574,0.601556,0.010000,0.591556
16,-1.698581,-1.581489,-2.831489,-0.331489,noise,none,0.000000,1,1.511574,-0.187007,0.010000,-0.197007
17,-2.058084,-2.047601,-3.297601,-0.797601,informed,none,0.000000,1,1.511574,-0.546509,0.010000,-0.556509
18,-1.893876,-1.953661,-3.203661,-0.703661,noise,none,0.000000,1,1.511574,-0.382301,0.010000,-0.392301
19,-3.547346,-3.538913,-4.788913,-2.288913,informed,none,0.000000,1,1.511574,-2.035772,0.010000,-2.045772
20,-2.689513,-2.954339,-4.204339,-1.704339,noise,none,0.000000,1,1.511574,-1.177939,0.010000,-1.187939
21,-3.008480,-3.586495,-4.836495,-2.336495,informed,none,0.000000,1,1.511574,-1.496906,0.010000,-1.506906
22,-7.198497,-7.144786,-8.394786,-5.894786,noise,none,0.000000,1,1.511574,-5.686923,0.010000,-5.696923
23,-8.088859,-8.373408,-9.623408,-7.123408,noise,none,0.000000,1,1.511574,-6.577285,0.010000,-6.587285
24,-7.876872,-8.995669,-10.245669,-7.745669,noise,buy_from_mm,-7.745669,0,-6.234094,-6.234094,0.000000,-6.234094
25,-8.408682,-8.820374,-10.070374,-7.570374,noise,none,0.000000,0,-6.234094,-6.234094,0.000000,-6.234094
26,-8.793265,-8.908809,-10.158809,-7.658809,noise,none,0.000000,0,-6.234094,-6.234094,0.000000,-6.234094
27,-7.661780,-7.974540,-9.224540,-6.724540,noise,none,0.000000,0,-6.234094,-6.234094,0.000000,-6.234094
28,-7.936702,-7.665390,-8.915390,-6.415390,informed,none,0.000000,0,-6.234094,-6.234094,0.000000,-6.234094
29,-9.295928,-9.445507,-10.695507,-8.195507,noise,none,0.000000,0,-6.234094,-6.234094,0.000000,-6.234094
30,-7.943269,-7.666465,-8.916465,-6.416465,informed,none,0.000000,0,-6.234094,-6.234094,0.000000,-6.234094
31,-7.905662,-8.123277,-9.373277,-6.873277,noise,buy_from_mm,-6.873277,-1,-13.107371,-5.201709,0.010000,-5.211709
32,-6.854673,-7.522765,-8.772765,-6.272765,noise,none,0.000000,-1,-13.107371,-6.252698,0.010000,-6.262698
33,-6.684121,-6.100591,-7.350591,-4.850591,informed,none,0.000000,-1,-13.107371,-6.423250,0.010000,-6.433250
34,-7.841254,-8.175159,-9.425159,-6.925159,noise,sell_to_mm,-9.425159,0,-3.682212,-3.682212,0.000000,-3.682212
35,-6.758619,-6.727877,-7.977877,-5.477877,noise,none,0.000000,0,-3.682212,-3.682212,0.000000,-3.682212
36,-5.413585,-4.920009,-6.170009,-3.670009,informed,none,0.000000,0,-3.682212,-3.682212,0.000000,-3.682212
37,-5.606812,-6.105965,-7.355965,-4.855965,informed,none,0.000000,0,-3.682212,-3.682212,0.000000,-3.682212
38,-6.542358,-6.364834,-7.614834,-5.114834,informed,none,0.000000,0,-3.682212,-3.682212,0.000000,-3.682212
39,-6.122647,-5.495684,-6.745684,-4.245684,informed,none,0.000000,0,-3.682212,-3.682212,0.000000,-3.682212
40,-6.271685,-7.007806,-8.257806,-5.757806,noise,none,0.000000,0,-3.682212,-3.682212,0.000000,-3.682212
41,-7.096685,-6.841876,-8.091876,-5.591876,informed,none,0.000000,0,-3.682212,-3.682212,0.000000,-3.682212
42,-6.352613,-5.200638,-6.450638,-3.950638,noise,buy_from_mm,-3.950638,-1,-7.632850,-1.280237,0.010000,-1.290237
43,-7.337592,-7.825889,-9.075889,-6.575889,informed,none,0.000000,-1,-7.632850,-0.295258,0.010000,-0.305258
44,-8.582631,-8.345072,-9.595072,-7.095072,informed,none,0.000000,-1,-7.632850,0.949781,0.010000,0.939781
45,-7.491769,-7.172465,-8.422465,-5.922465,noise,none,0.000000,-1,-7.632850,-0.141080,0.010000,-0.151080
46,-7.615214,-7.411986,-8.661986,-6.161986,noise,none,0.000000,-1,-7.632850,-0.017636,0.010000,-0.027636
47,-6.561717,-7.143148,-8.393148,-5.893148,noise,none,0.000000,-1,-7.632850,-1.071132,0.010000,-1.081132
48,-7.170057,-7.058436,-8.308436,-5.808436,noise,none,0.000000,-1,-7.632850,-0.462793,0.010000,-0.472793
49,-4.795505,-4.933108,-6.183108,-3.683108,noise,sell_to_mm,-6.183108,0,-1.449741,-1.449741,0.000000,-1.449741
50,-5.346213,-5.171234,-6.421234,-3.921234,noise,none,0.000000,0,-1.449741,-1.449741,0.000000,-1.449741
51,-4.707323,-3.378989,-4.628989,-2.128989,informed,sell_to_mm,-4.628989,1,3.179247,-1.528075,0.010000,-1.538075
52,-4.568070,-4.786010,-6.036010,-3.536010,informed,none,0.000000,1,3.179247,-1.388823,0.010000,-1.398823
53,-4.648070,-5.267488,-6.517488,-4.017488,noise,none,0.000000,1,3.179247,-1.468823,0.010000,-1.478823
54,-5.112293,-5.723012,-6.973012,-4.473012,informed,none,0.000000,1,3.179247,-1.933046,0.010000,-1.943046
55,-5.373662,-5.647381,-6.897381,-4.397381,noise,none,0.000000,1,3.179247,-2.194414,0.010000,-2.204414
56,-6.310915,-6.002571,-7.252571,-4.752571,informed,none,0.000000,1,3.179247,-3.131668,0.010000,-3.141668
57,-5.289235,-5.459723,-6.709723,-4.209723,noise,none,0.000000,1,3.179247,-2.109988,0.010000,-2.119988
58,-5.463016,-5.850289,-7.100289,-4.600289,informed,none,0.000000,1,3.179247,-2.283768,0.010000,-2.293768
59,-5.442759,-5.647387,-6.897387,-4.397387,noise,none,0.000000,1,3.179247,-2.263512,0.010000,-2.273512
60,-5.741484,-5.925271,-7.175271,-4.675271,noise,none,0.000000,1,3.179247,-2.562237,0.010000,-2.572237
61,-5.729824,-6.291141,-7.541141,-5.041141,noise,none,0.000000,1,3.179247,-2.550577,0.010000,-2.560577
62,-6.127911,-5.810979,-7.060979,-4.560979,informed,none,0.000000,1,3.179247,-2.948664,0.010000,-2.958664
