t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,0.492199,-0.863442,-2.363442,0.636558,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-0.707226,-2.206032,-3.706032,-0.706032,price_sensitive_uninformed,buy_from_mm,-0.706032,-1,-0.706032,0.001194,0.010000,-0.008806
3,-1.869245,-2.831939,-4.331939,-1.331939,informed,none,0.000000,-1,-0.706032,1.163212,0.010000,1.153212
4,-1.799254,-1.303671,-2.803671,0.196329,price_sensitive_uninformed,none,0.000000,-1,-0.706032,1.093222,0.010000,1.083222
5,-2.081091,-1.008775,-2.508775,0.491225,price_sensitive_uninformed,sell_to_mm,-2.508775,0,1.802743,1.802743,0.000000,1.802743
6,-3.092539,-3.017992,-4.517992,-1.517992,informed,none,0.000000,0,1.802743,1.802743,0.000000,1.802743
7,-1.960146,-1.767148,-3.267148,-0.267148,price_sensitive_uninformed,none,0.000000,0,1.802743,1.802743,0.000000,1.802743
8,-1.707544,-1.678820,-3.178820,-0.178820,informed,none,0.000000,0,1.802743,1.802743,0.000000,1.802743
9,-3.786572,-3.997038,-5.497038,-2.497038,price_sensitive_uninformed,none,0.000000,0,1.802743,1.802743,0.000000,1.802743
10,-2.955665,-4.880000,-6.380000,-3.380000,informed,buy_from_mm,-3.380000,-1,-1.577256,1.378409,0.010000,1.368409
11,-1.340853,-1.942067,-3.442067,-0.442067,price_sensitive_uninformed,none,0.000000,-1,-1.577256,-0.236403,0.010000,-0.246403
12,-1.270771,-2.023362,-3.523362,-0.523362,informed,none,0.000000,-1,-1.577256,-0.306486,0.010000,-0.316486
13,-1.093534,-1.976361,-3.476361,-0.476361,price_sensitive_uninformed,none,0.000000,-1,-1.577256,-0.483723,0.010000,-0.493723
14,-1.455059,-0.962061,-2.462061,0.537939,price_sensitive_uninformed,none,0.000000,-1,-1.577256,-0.122197,0.010000,-0.132197
15,-2.046518,-1.689092,-3.189092,-0.189092,informed,none,0.000000,-1,-1.577256,0.469261,0.010000,0.459261
16,-1.106040,0.337527,-1.162473,1.837527,price_sensitive_uninformed,none,0.000000,-1,-1.577256,-0.471216,0.010000,-0.481216
17,-2.244676,-4.500435,-6.000435,-3.000435,price_sensitive_uninformed,none,0.000000,-1,-1.577256,0.667420,0.010000,0.657420
18,-1.946799,-1.458736,-2.958736,0.041264,price_sensitive_uninformed,none,0.000000,-1,-1.577256,0.369543,0.010000,0.359543
19,-1.767491,-2.146810,-3.646810,-0.646810,informed,none,0.000000,-1,-1.577256,0.190235,0.010000,0.180235
20,-3.683760,-2.646310,-4.146310,-1.146310,price_sensitive_uninformed,none,0.000000,-1,-1.577256,2.106503,0.010000,2.096503
21,-4.681855,-3.278487,-4.778487,-1.778487,informed,none,0.000000,-1,-1.577256,3.104598,0.010000,3.094598
22,-3.833548,-3.532356,-5.032356,-2.032356,informed,none,0.000000,-1,-1.577256,2.256291,0.010000,2.246291
23,-7.371556,-6.657978,-8.157978,-5.157978,price_sensitive_uninformed,none,0.000000,-1,-1.577256,5.794299,0.010000,5.784299
24,-8.767677,-7.530734,-9.030734,-6.030734,price_sensitive_uninformed,none,0.000000,-1,-1.577256,7.190421,0.010000,7.180421
25,-8.627671,-8.354654,-9.854654,-6.854654,informed,none,0.000000,-1,-1.577256,7.050415,0.010000,7.040415
26,-10.145336,-10.919213,-12.419213,-9.419213,informed,none,0.000000,-1,-1.577256,8.568080,0.010000,8.558080
27,-9.861722,-8.629189,-10.129189,-7.129189,price_sensitive_uninformed,none,0.000000,-1,-1.577256,8.284465,0.010000,8.274465
28,-8.601407,-10.159873,-11.659873,-8.659873,informed,buy_from_mm,-8.659873,-2,-10.237130,6.965685,0.040000,6.925685
29,-8.219738,-8.771942,-10.271942,-7.271942,price_sensitive_uninformed,none,0.000000,-2,-10.237130,6.202346,0.040000,6.162346
30,-8.387966,-8.724699,-10.224699,-7.224699,informed,none,0.000000,-2,-10.237130,6.538802,0.040000,6.498802
31,-9.000651,-8.643036,-10.143036,-7.143036,price_sensitive_uninformed,none,0.000000,-2,-10.237130,7.764172,0.040000,7.724172
32,-8.588113,-8.213957,-9.713957,-6.713957,price_sensitive_uninformed,none,0.000000,-2,-10.237130,6.939096,0.040000,6.899096
33,-8.608266,-10.259331,-11.759331,-8.759331,price_sensitive_uninformed,sell_to_mm,-11.759331,-1,1.522201,10.130468,0.010000,10.120468
34,-9.243253,-10.238726,-11.738726,-8.738726,informed,none,0.000000,-1,1.522201,10.765454,0.010000,10.755454
35,-8.568203,-10.074114,-11.574114,-8.574114,price_sensitive_uninformed,none,0.000000,-1,1.522201,10.090404,0.010000,10.080404
36,-8.612461,-8.619909,-10.119909,-7.119909,price_sensitive_uninformed,none,0.000000,-1,1.522201,10.134663,0.010000,10.124663
37,-9.170446,-10.310076,-11.810076,-8.810076,price_sensitive_uninformed,none,0.000000,-1,1.522201,10.692647,0.010000,10.682647
38,-9.554853,-9.457359,-10.957359,-7.957359,informed,none,0.000000,-1,1.522201,11.077054,0.010000,11.067054
39,-10.226598,-9.189367,-10.689367,-7.689367,price_sensitive_uninformed,none,0.000000,-1,1.522201,11.748800,0.010000,11.738800
40,-9.060012,-8.374677,-9.874677,-6.874677,informed,none,0.000000,-1,1.522201,10.582213,0.010000,10.572213
41,-7.032393,-6.008677,-7.508677,-4.508677,informed,none,0.000000,-1,1.522201,8.554594,0.010000,8.544594
42,-6.906148,-7.700234,-9.200234,-6.200234,price_sensitive_uninformed,none,0.000000,-1,1.522201,8.428350,0.010000,8.418350
43,-6.497193,-6.346623,-7.846623,-4.846623,price_sensitive_uninformed,none,0.000000,-1,1.522201,8.019395,0.010000,8.009395
44,-6.242384,-6.680821,-8.180821,-5.180821,price_sensitive_uninformed,none,0.000000,-1,1.522201,7.764586,0.010000,7.754586
45,-7.712363,-6.859545,-8.359545,-5.359545,informed,none,0.000000,-1,1.522201,9.234564,0.010000,9.224564
46,-7.126358,-7.377870,-8.877870,-5.877870,informed,none,0.000000,-1,1.522201,8.648559,0.010000,8.638559
47,-6.327091,-5.517711,-7.017711,-4.017711,informed,none,0.000000,-1,1.522201,7.849292,0.010000,7.839292
48,-6.029341,-5.599381,-7.099381,-4.099381,price_sensitive_uninformed,none,0.000000,-1,1.522201,7.551542,0.010000,7.541542
49,-5.680815,-5.624353,-7.124353,-4.124353,price_sensitive_uninformed,none,0.000000,-1,1.522201,7.203017,0.010000,7.193017
50,-5.371603,-5.320181,-6.820181,-3.820181,price_sensitive_uninformed,none,0.000000,-1,1.522201,6.893804,0.010000,6.883804
51,-4.995951,-5.449933,-6.949933,-3.949933,price_sensitive_uninformed,none,0.000000,-1,1.522201,6.518152,0.010000,6.508152
52,-3.195775,-3.389242,-4.889242,-1.889242,price_sensitive_uninformed,buy_from_mm,-1.889242,-2,-0.367040,6.024511,0.040000,5.984511
53,-3.205300,-4.301333,-5.801333,-2.801333,price_sensitive_uninformed,none,0.000000,-2,-0.367040,6.043560,0.040000,6.003560
54,-3.419219,-2.868126,-4.368126,-1.368126,informed,none,0.000000,-2,-0.367040,6.471398,0.040000,6.431398
55,-3.364148,-2.157404,-3.657404,-0.657404,price_sensitive_uninformed,none,0.000000,-2,-0.367040,6.361256,0.040000,6.321256
56,-3.479862,-5.154596,-6.654596,-3.654596,price_sensitive_uninformed,none,0.000000,-2,-0.367040,6.592684,0.040000,6.552684
57,-2.850156,-3.766737,-5.266737,-2.266737,price_sensitive_uninformed,buy_from_mm,-2.266737,-3,-2.633777,5.916692,0.090000,5.826692
58,-1.664963,-1.439189,-2.939189,0.060811,informed,none,0.000000,-3,-2.633777,2.361112,0.090000,2.271112
59,-3.537881,-4.243268,-5.743268,-2.743268,informed,none,0.000000,-3,-2.633777,7.979865,0.090000,7.889865
60,-2.236917,-2.726436,-4.226436,-1.226436,price_sensitive_uninformed,sell_to_mm,-4.226436,-2,1.592659,6.066493,0.040000,6.026493
61,-2.649141,-3.465460,-4.965460,-1.965460,informed,none,0.000000,-2,1.592659,6.890941,0.040000,6.850941
62,-2.207522,-3.667675,-5.167675,-2.167675,price_sensitive_uninformed,none,0.000000,-2,1.592659,6.007703,0.040000,5.967703
63,-1.873849,0.003416,-1.496584,1.503416,price_sensitive_uninformed,none,0.000000,-2,1.592659,5.340358,0.040000,5.300358
64,-2.578561,-3.637151,-5.137151,-2.137151,informed,none,0.000000,-2,1.592659,6.749781,0.040000,6.709781
65,-1.390303,-1.636426,-3.136426,-0.136426,price_sensitive_uninformed,none,0.000000,-2,1.592659,4.373265,0.040000,4.333265
66,-2.576261,-1.887789,-3.387789,-0.387789,price_sensitive_uninformed,none,0.000000,-2,1.592659,6.745181,0.040000,6.705181
67,-2.894243,-2.702625,-4.202625,-1.202625,informed,none,0.000000,-2,1.592659,7.381146,0.040000,7.341146
68,-1.811521,-2.719405,-4.219405,-1.219405,price_sensitive_uninformed,none,0.000000,-2,1.592659,5.215702,0.040000,5.175702
69,-1.734335,-0.898499,-2.398499,0.601501,informed,none,0.000000,-2,1.592659,5.061329,0.040000,5.021329
70,-1.104094,-2.591044,-4.091044,-1.091044,price_sensitive_uninformed,none,0.000000,-2,1.592659,3.800847,0.040000,3.760847
71,-1.067133,-1.130851,-2.630851,0.369149,price_sensitive_uninformed,none,0.000000,-2,1.592659,3.726925,0.040000,3.686925
72,-1.434314,-0.952388,-2.452388,0.547612,informed,none,0.000000,-2,1.592659,4.461288,0.040000,4.421288
73,-1.502880,-0.309743,-1.809743,1.190257,price_sensitive_uninformed,none,0.000000,-2,1.592659,4.598419,0.040000,4.558419
74,-1.653462,-3.623690,-5.123690,-2.123690,price_sensitive_uninformed,none,0.000000,-2,1.592659,4.899583,0.040000,4.859583
75,-2.526831,-1.399417,-2.899417,0.100583,price_sensitive_uninformed,none,0.000000,-2,1.592659,6.646322,0.040000,6.606322
76,-1.221423,-0.443598,-1.943598,1.056402,price_sensitive_uninformed,none,0.000000,-2,1.592659,4.035506,0.040000,3.995506
77,-2.183656,-3.038538,-4.538538,-1.538538,price_sensitive_uninformed,none,0.000000,-2,1.592659,5.959971,0.040000,5.919971
78,-2.528048,-3.767282,-5.267282,-2.267282,informed,none,0.000000,-2,1.592659,6.648756,0.040000,6.608756
79,-2.121113,-2.249332,-3.749332,-0.749332,price_sensitive_uninformed,none,0.000000,-2,1.592659,5.834886,0.040000,5.794886
80,-0.618497,-0.617130,-2.117130,0.882870,informed,none,0.000000,-2,1.592659,2.829653,0.040000,2.789653
81,-1.046600,-0.191074,-1.691074,1.308926,price_sensitive_uninformed,none,0.000000,-2,1.592659,3.685860,0.040000,3.645860
82,-3.384682,-3.209728,-4.709728,-1.709728,price_sensitive_uninformed,sell_to_mm,-4.709728,-1,6.302387,9.687070,0.010000,9.677070
83,-3.989002,-6.115628,-7.615628,-4.615628,price_sensitive_uninformed,sell_to_mm,-7.615628,0,13.918016,13.918016,0.000000,13.918016
84,-3.008875,-2.238228,-3.738228,-0.738228,price_sensitive_uninformed,none,0.000000,0,13.918016,13.918016,0.000000,13.918016
