t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.528058,-2.061047,-2.561047,-1.561047,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-1.602146,-0.072749,-0.572749,0.427251,price_sensitive_uninformed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,-1.686223,-0.492213,-0.992213,0.007787,informed,sell_to_mm,-0.992213,1,0.992213,-0.694010,0.010000,-0.704010
4,-1.863301,-1.117905,-1.617905,-0.617905,informed,sell_to_mm,-1.617905,2,2.610118,-1.116483,0.040000,-1.156483
5,-1.979150,-2.516718,-3.016718,-2.016718,price_sensitive_uninformed,none,0.000000,2,2.610118,-1.348183,0.040000,-1.388183
6,-2.398055,-2.722189,-3.222189,-2.222189,informed,none,0.000000,2,2.610118,-2.185992,0.040000,-2.225992
7,-2.527200,-1.576423,-2.076423,-1.076423,price_sensitive_uninformed,sell_to_mm,-2.076423,3,4.686541,-2.895061,0.090000,-2.985061
8,-3.051863,-3.851920,-4.351920,-3.351920,informed,buy_from_mm,-3.351920,2,1.334621,-4.769105,0.040000,-4.809105
9,-3.364191,-1.645739,-2.145739,-1.145739,informed,sell_to_mm,-2.145739,3,3.480360,-6.612212,0.090000,-6.702212
10,-3.925043,-3.142526,-3.642526,-2.642526,price_sensitive_uninformed,sell_to_mm,-3.642526,4,7.122886,-8.577286,0.160000,-8.737286
11,-3.335254,-3.561719,-4.061719,-3.061719,informed,none,0.000000,4,7.122886,-6.218132,0.160000,-6.378132
12,-3.691127,-4.703339,-5.203339,-4.203339,price_sensitive_uninformed,none,0.000000,4,7.122886,-7.641622,0.160000,-7.801622
13,-3.647503,-2.796158,-3.296158,-2.296158,informed,sell_to_mm,-3.296158,5,10.419044,-7.818470,0.250000,-8.068470
14,-4.200247,-4.007217,-4.507217,-3.507217,price_sensitive_uninformed,sell_to_mm,-4.507217,6,14.926261,-10.275219,0.360000,-10.635219
15,-4.583512,-3.809623,-4.309623,-3.309623,informed,sell_to_mm,-4.309623,7,19.235884,-12.848704,0.490000,-13.338704
16,-7.433247,-9.175913,-9.675913,-8.675913,price_sensitive_uninformed,sell_to_mm,-9.675913,8,28.911797,-30.554183,0.640000,-31.194183
17,-5.719304,-5.443891,-5.943891,-4.943891,informed,none,0.000000,8,28.911797,-16.842632,0.640000,-17.482632
18,-5.639097,-4.716327,-5.216327,-4.216327,price_sensitive_uninformed,none,0.000000,8,28.911797,-16.200977,0.640000,-16.840977
19,-6.813446,-6.852680,-7.352680,-6.352680,price_sensitive_uninformed,none,0.000000,8,28.911797,-25.595774,0.640000,-26.235774
20,-6.094729,-7.254257,-7.754257,-6.754257,informed,buy_from_mm,-6.754257,7,22.157540,-20.505561,0.490000,-20.995561
21,-5.243566,-5.786313,-6.286313,-5.286313,price_sensitive_uninformed,none,0.000000,7,22.157540,-14.547420,0.490000,-15.037420
22,-6.411564,-4.075652,-4.575652,-3.575652,informed,sell_to_mm,-4.575652,8,26.733192,-24.559317,0.640000,-25.199317
23,-6.608105,-5.611852,-6.111852,-5.111852,informed,sell_to_mm,-6.111852,9,32.845044,-26.627905,0.810000,-27.437905
24,-5.602387,-6.045733,-6.545733,-5.545733,informed,none,0.000000,9,32.845044,-17.576440,0.810000,-18.386440
25,-5.547627,-5.532617,-6.032617,-5.032617,price_sensitive_uninformed,none,0.000000,9,32.845044,-17.083600,0.810000,-17.893600
26,-5.487390,-5.828115,-6.328115,-5.328115,price_sensitive_uninformed,none,0.000000,9,32.845044,-16.541468,0.810000,-17.351468
27,-5.147805,-4.613336,-5.113336,-4.113336,price_sensitive_uninformed,none,0.000000,9,32.845044,-13.485206,0.810000,-14.295206
28,-4.149508,-3.339223,-3.839223,-2.839223,price_sensitive_uninformed,sell_to_mm,-3.839223,10,36.684267,-4.810809,1.000000,-5.810809
29,-3.518061,-3.595581,-4.095581,-3.095581,informed,none,0.000000,10,36.684267,1.503660,1.000000,0.503660
30,-3.871645,-3.246817,-3.746817,-2.746817,price_sensitive_uninformed,buy_from_mm,-2.746817,9,33.937450,-0.907354,0.810000,-1.717354
31,-5.693757,-5.219374,-5.719374,-4.719374,price_sensitive_uninformed,none,0.000000,9,33.937450,-17.306362,0.810000,-18.116362
32,-6.184231,-6.997444,-7.497444,-6.497444,informed,buy_from_mm,-6.497444,8,27.440006,-22.033841,0.640000,-22.673841
33,-5.753102,-6.248093,-6.748093,-5.748093,price_sensitive_uninformed,none,0.000000,8,27.440006,-18.584811,0.640000,-19.224811
34,-5.799834,-5.682839,-6.182839,-5.182839,informed,none,0.000000,8,27.440006,-18.958665,0.640000,-19.598665
35,-4.025100,-3.778444,-4.278444,-3.278444,price_sensitive_uninformed,none,0.000000,8,27.440006,-4.760791,0.640000,-5.400791
36,-3.829890,-4.334350,-4.834350,-3.834350,informed,buy_from_mm,-3.834350,7,23.605656,-3.203577,0.490000,-3.693577
37,-3.242092,-2.548029,-3.048029,-2.048029,informed,sell_to_mm,-3.048029,8,26.653685,0.716946,0.640000,0.076946
