t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.704955,-0.260163,-0.760163,0.239837,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,0.362163,1.490723,0.990723,1.990723,informed,sell_to_mm,0.990723,1,-0.990723,-0.628560,0.010000,-0.638560
3,-1.334984,-2.002793,-2.502793,-1.502793,informed,buy_from_mm,-1.502793,0,-2.493517,-2.493517,0.000000,-2.493517
4,-1.283190,-2.260280,-2.760280,-1.760280,price_sensitive_uninformed,none,0.000000,0,-2.493517,-2.493517,0.000000,-2.493517
5,-0.579802,-2.077429,-2.577429,-1.577429,price_sensitive_uninformed,buy_from_mm,-1.577429,-1,-4.070946,-3.491143,0.010000,-3.501143
6,0.422835,0.463632,-0.036368,0.963632,informed,none,0.000000,-1,-4.070946,-4.493781,0.010000,-4.503781
7,0.489673,-0.338220,-0.838220,0.161780,informed,buy_from_mm,0.161780,-2,-3.909165,-4.888512,0.040000,-4.928512
8,0.419267,-0.477669,-0.977669,0.022331,informed,buy_from_mm,0.022331,-3,-3.886834,-5.144635,0.090000,-5.234635
9,-0.496476,-0.892176,-1.392176,-0.392176,price_sensitive_uninformed,sell_to_mm,-1.392176,-2,-2.494658,-1.501706,0.040000,-1.541706
10,-1.228227,-1.197946,-1.697946,-0.697946,price_sensitive_uninformed,buy_from_mm,-0.697946,-3,-3.192604,0.492078,0.090000,0.402078
11,-2.117246,-2.549862,-3.049862,-2.049862,informed,none,0.000000,-3,-3.192604,3.159134,0.090000,3.069134
12,-0.879549,-1.133464,-1.633464,-0.633464,price_sensitive_uninformed,sell_to_mm,-1.633464,-2,-1.559140,0.199958,0.040000,0.159958
13,0.002035,-0.397781,-0.897781,0.102219,informed,none,0.000000,-2,-1.559140,-1.563209,0.040000,-1.603209
14,-0.166259,-0.201872,-0.701872,0.298128,price_sensitive_uninformed,none,0.000000,-2,-1.559140,-1.226621,0.040000,-1.266621
15,0.666102,1.534764,1.034764,2.034764,price_sensitive_uninformed,none,0.000000,-2,-1.559140,-2.891343,0.040000,-2.931343
