t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.367892,-0.504734,-1.004734,-0.004734,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-2.574352,-2.859900,-3.359900,-2.359900,noise,buy_from_mm,-2.359900,-1,-2.359900,0.214452,0.010000,0.204452
3,-0.982996,-0.700210,-1.200210,-0.200210,informed,none,0.000000,-1,-2.359900,-1.376904,0.010000,-1.386904
4,-0.675345,-0.335500,-0.835500,0.164500,noise,none,0.000000,-1,-2.359900,-1.684555,0.010000,-1.694555
5,-1.553842,-2.849025,-3.349025,-2.349025,informed,buy_from_mm,-2.349025,-2,-4.708925,-1.601241,0.040000,-1.641241
6,-1.723678,-1.556608,-2.056608,-1.056608,noise,sell_to_mm,-2.056608,-1,-2.652317,-0.928639,0.010000,-0.938639
7,-0.937227,-1.139866,-1.639866,-0.639866,noise,none,0.000000,-1,-2.652317,-1.715089,0.010000,-1.725089
8,-2.114180,-1.723474,-2.223474,-1.223474,noise,sell_to_mm,-2.223474,0,-0.428843,-0.428843,0.000000,-0.428843
9,-1.770629,-2.266422,-2.766422,-1.766422,noise,none,0.000000,0,-0.428843,-0.428843,0.000000,-0.428843
10,-2.761721,-1.848748,-2.348748,-1.348748,noise,sell_to_mm,-2.348748,1,1.919905,-0.841816,0.010000,-0.851816
11,-2.941731,-3.276049,-3.776049,-2.776049,noise,buy_from_mm,-2.776049,0,-0.856144,-0.856144,0.000000,-0.856144
12,-0.574708,1.355134,0.855134,1.855134,noise,buy_from_mm,1.855134,-1,0.998990,1.573698,0.010000,1.563698
13,-1.643136,-0.048007,-0.548007,0.451993,noise,none,0.000000,-1,0.998990,2.642126,0.010000,2.632126
14,-1.331491,-1.066534,-1.566534,-0.566534,informed,none,0.000000,-1,0.998990,2.330482,0.010000,2.320482
15,-2.353689,-1.414395,-1.914395,-0.914395,informed,sell_to_mm,-1.914395,0,2.913385,2.913385,0.000000,2.913385
16,-1.406866,-1.626341,-2.126341,-1.126341,informed,none,0.000000,0,2.913385,2.913385,0.000000,2.913385
17,-1.956501,-3.615859,-4.115859,-3.115859,informed,buy_from_mm,-3.115859,-1,-0.202474,1.754027,0.010000,1.744027
18,-2.192265,-2.254382,-2.754382,-1.754382,noise,buy_from_mm,-1.754382,-2,-1.956856,2.427674,0.040000,2.387674
19,-2.347667,-1.285643,-1.785643,-0.785643,informed,sell_to_mm,-1.785643,-1,-0.171212,2.176454,0.010000,2.166454
