t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.569610,3.873876,0.873876,6.873876,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,1.025691,-0.120115,-3.120115,2.879885,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,1.833176,8.753274,5.753274,11.753274,sell_to_mm,5.753274,1,-5.753274,-3.920098,0.010000,-3.930098
4,0.101203,6.942954,3.942954,9.942954,sell_to_mm,3.942954,2,-9.696228,-9.493822,0.040000,-9.533822
5,1.905661,-3.360259,-6.360259,-0.360259,none,0.000000,2,-9.696228,-5.884906,0.040000,-5.924906
6,1.578715,4.887185,1.887185,7.887185,none,0.000000,2,-9.696228,-6.538798,0.040000,-6.578798
7,-0.186342,7.827096,4.827096,10.827096,buy_from_mm,10.827096,1,1.130868,0.944526,0.010000,0.934526
8,-0.542522,-1.043717,-4.043717,1.956283,buy_from_mm,1.956283,0,3.087151,3.087151,0.000000,3.087151
9,0.225603,-1.043092,-4.043092,1.956908,none,0.000000,0,3.087151,3.087151,0.000000,3.087151
10,-0.282697,-5.492070,-8.492070,-2.492070,buy_from_mm,-2.492070,-1,0.595081,0.877779,0.010000,0.867779
11,-1.768998,-6.717568,-9.717568,-3.717568,none,0.000000,-1,0.595081,2.364079,0.010000,2.354079
12,-3.714196,-10.972465,-13.972465,-7.972465,sell_to_mm,-13.972465,0,14.567546,14.567546,0.000000,14.567546
13,-3.798854,0.102841,-2.897159,3.102841,none,0.000000,0,14.567546,14.567546,0.000000,14.567546
14,-4.392052,3.932641,0.932641,6.932641,sell_to_mm,0.932641,1,13.634906,9.242853,0.010000,9.232853
15,-4.918562,-0.941202,-3.941202,2.058798,sell_to_mm,-3.941202,2,17.576108,7.738984,0.040000,7.698984
16,-6.481488,-6.897976,-9.897976,-3.897976,none,0.000000,2,17.576108,4.613132,0.040000,4.573132
17,-5.598375,1.913546,-1.086454,4.913546,none,0.000000,2,17.576108,6.379359,0.040000,6.339359
18,-6.245851,3.146523,0.146523,6.146523,none,0.000000,2,17.576108,5.084406,0.040000,5.044406
19,-6.015174,-3.746192,-6.746192,-0.746192,buy_from_mm,-0.746192,1,16.829916,10.814742,0.010000,10.804742
20,-4.297962,-13.038531,-16.038531,-10.038531,none,0.000000,1,16.829916,12.531954,0.010000,12.521954
21,-3.254053,-5.515707,-8.515707,-2.515707,none,0.000000,1,16.829916,13.575863,0.010000,13.565863
22,-3.299721,-13.925768,-16.925768,-10.925768,buy_from_mm,-10.925768,0,5.904148,5.904148,0.000000,5.904148
23,-2.094291,0.235722,-2.764278,3.235722,none,0.000000,0,5.904148,5.904148,0.000000,5.904148
24,-2.147023,-12.399122,-15.399122,-9.399122,buy_from_mm,-9.399122,-1,-3.494974,-1.347952,0.010000,-1.357952
25,-2.023540,0.248117,-2.751883,3.248117,none,0.000000,-1,-3.494974,-1.471434,0.010000,-1.481434
26,-2.471691,4.952263,1.952263,7.952263,sell_to_mm,1.952263,0,-5.447237,-5.447237,0.000000,-5.447237
27,-1.783014,-1.898491,-4.898491,1.101509,sell_to_mm,-4.898491,1,-0.548746,-2.331760,0.010000,-2.341760
28,-2.022366,-11.319712,-14.319712,-8.319712,none,0.000000,1,-0.548746,-2.571112,0.010000,-2.581112
29,-2.520531,-10.234671,-13.234671,-7.234671,buy_from_mm,-7.234671,0,-7.783416,-7.783416,0.000000,-7.783416
30,-1.632187,-0.330880,-3.330880,2.669120,none,0.000000,0,-7.783416,-7.783416,0.000000,-7.783416
31,-0.076830,0.427471,-2.572529,3.427471,none,0.000000,0,-7.783416,-7.783416,0.000000,-7.783416
32,-0.307996,1.332297,-1.667703,4.332297,none,0.000000,0,-7.783416,-7.783416,0.000000,-7.783416
33,-0.900462,4.307516,1.307516,7.307516,sell_to_mm,1.307516,1,-9.090932,-9.991394,0.010000,-10.001394
34,-0.480273,4.486757,1.486757,7.486757,buy_from_mm,7.486757,0,-1.604176,-1.604176,0.000000,-1.604176
35,0.043047,9.108399,6.108399,12.108399,sell_to_mm,6.108399,1,-7.712575,-7.669528,0.010000,-7.679528
36,1.377481,-0.850103,-3.850103,2.149897,none,0.000000,1,-7.712575,-6.335094,0.010000,-6.345094
37,-0.379918,3.853203,0.853203,6.853203,none,0.000000,1,-7.712575,-8.092493,0.010000,-8.102493
38,-0.120973,-3.242902,-6.242902,-0.242902,buy_from_mm,-0.242902,0,-7.955477,-7.955477,0.000000,-7.955477
