t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.142081,0.538589,-0.711411,1.788589,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-1.235107,-1.371350,-2.621350,-0.121350,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,-0.638048,-0.596365,-1.846365,0.653635,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
4,-0.783114,-0.412700,-1.662700,0.837300,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
5,-1.718964,-1.911219,-3.161219,-0.661219,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
6,-0.949104,-1.010493,-2.260493,0.239507,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
7,-2.507013,-1.779801,-3.029801,-0.529801,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
8,0.662423,-0.441764,-1.691764,0.808236,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
9,-0.373164,-0.652054,-1.902054,0.597946,informed,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
10,-1.849837,-1.022375,-2.272375,0.227625,noise,buy_from_mm,0.227625,-1,0.227625,2.077462,0.010000,2.067462
11,-0.420930,-1.010748,-2.260748,0.239252,informed,none,0.000000,-1,0.227625,0.648555,0.010000,0.638555
12,0.335008,0.648168,-0.601832,1.898168,noise,none,0.000000,-1,0.227625,-0.107383,0.010000,-0.117383
13,0.245252,0.235935,-1.014065,1.485935,informed,none,0.000000,-1,0.227625,-0.017627,0.010000,-0.027627
14,0.931125,0.857497,-0.392503,2.107497,noise,none,0.000000,-1,0.227625,-0.703500,0.010000,-0.713500
15,-0.605771,-0.818095,-2.068095,0.431905,informed,none,0.000000,-1,0.227625,0.833396,0.010000,0.823396
16,-1.329918,-0.527992,-1.777992,0.722008,noise,buy_from_mm,0.722008,-2,0.949633,3.609468,0.040000,3.569468
17,0.058389,0.827755,-0.422245,2.077755,noise,none,0.000000,-2,0.949633,0.832854,0.040000,0.792854
18,2.395679,2.677506,1.427506,3.927506,noise,none,0.000000,-2,0.949633,-3.841725,0.040000,-3.881725
19,2.579553,2.794910,1.544910,4.044910,noise,none,0.000000,-2,0.949633,-4.209474,0.040000,-4.249474
20,2.520562,2.034009,0.784009,3.284009,informed,none,0.000000,-2,0.949633,-4.091492,0.040000,-4.131492
21,0.234143,-0.506699,-1.756699,0.743301,noise,sell_to_mm,-1.756699,-1,2.706332,2.472190,0.010000,2.462190
22,-2.326650,-2.905804,-4.155804,-1.655804,noise,none,0.000000,-1,2.706332,5.032982,0.010000,5.022982
23,-4.101911,-3.578237,-4.828237,-2.328237,noise,none,0.000000,-1,2.706332,6.808244,0.010000,6.798244
24,-4.627088,-3.990394,-5.240394,-2.740394,noise,none,0.000000,-1,2.706332,7.333420,0.010000,7.323420
25,-5.820836,-5.937211,-7.187211,-4.687211,noise,buy_from_mm,-4.687211,-2,-1.980878,9.660794,0.040000,9.620794
26,-6.497680,-6.326751,-7.576751,-5.076751,informed,none,0.000000,-2,-1.980878,11.014482,0.040000,10.974482
27,-6.339098,-6.914904,-8.164904,-5.664904,informed,none,0.000000,-2,-1.980878,10.697318,0.040000,10.657318
28,-7.116887,-7.631206,-8.881206,-6.381206,noise,none,0.000000,-2,-1.980878,12.252895,0.040000,12.212895
29,-7.816282,-8.449017,-9.699017,-7.199017,noise,buy_from_mm,-7.199017,-3,-9.179895,14.268951,0.090000,14.178951
30,-8.047692,-8.469649,-9.719649,-7.219649,informed,none,0.000000,-3,-9.179895,14.963180,0.090000,14.873180
31,-5.862144,-6.087561,-7.337561,-4.837561,informed,none,0.000000,-3,-9.179895,8.406537,0.090000,8.316537
32,-5.219851,-5.512717,-6.762717,-4.262717,informed,none,0.000000,-3,-9.179895,6.479659,0.090000,6.389659
33,-5.518319,-6.133460,-7.383460,-4.883460,noise,buy_from_mm,-4.883460,-4,-14.063355,8.009921,0.160000,7.849921
34,-5.494724,-4.858307,-6.108307,-3.608307,informed,none,0.000000,-4,-14.063355,7.915540,0.160000,7.755540
35,-4.430742,-4.684205,-5.934205,-3.434205,noise,buy_from_mm,-3.434205,-5,-17.497560,4.656149,0.250000,4.406149
36,-6.072904,-6.097845,-7.347845,-4.847845,noise,none,0.000000,-5,-17.497560,12.866960,0.250000,12.616960
37,-7.014514,-7.211045,-8.461045,-5.961045,noise,none,0.000000,-5,-17.497560,17.575012,0.250000,17.325012
38,-7.019023,-7.117826,-8.367826,-5.867826,noise,none,0.000000,-5,-17.497560,17.597554,0.250000,17.347554
39,-5.867654,-5.146393,-6.396393,-3.896393,informed,none,0.000000,-5,-17.497560,11.840711,0.250000,11.590711
40,-6.192745,-6.933647,-8.183647,-5.683647,noise,sell_to_mm,-8.183647,-4,-9.313913,15.457067,0.160000,15.297067
41,-5.736084,-5.595688,-6.845688,-4.345688,noise,none,0.000000,-4,-9.313913,13.630424,0.160000,13.470424
42,-5.023344,-5.067935,-6.317935,-3.817935,noise,buy_from_mm,-3.817935,-5,-13.131848,11.984873,0.250000,11.734873
43,-4.539845,-4.231391,-5.481391,-2.981391,noise,buy_from_mm,-2.981391,-6,-16.113239,11.125828,0.360000,10.765828
44,-5.520035,-5.151639,-6.401639,-3.901639,informed,none,0.000000,-6,-16.113239,17.006972,0.360000,16.646972
45,-6.495748,-5.623951,-6.873951,-4.373951,informed,none,0.000000,-6,-16.113239,22.861251,0.360000,22.501251
46,-6.136770,-6.139899,-7.389899,-4.889899,noise,none,0.000000,-6,-16.113239,20.707382,0.360000,20.347382
47,-5.439899,-5.692191,-6.942191,-4.442191,noise,buy_from_mm,-4.442191,-7,-20.555430,17.523860,0.490000,17.033860
48,-6.244207,-6.160757,-7.410757,-4.910757,noise,none,0.000000,-7,-20.555430,23.154020,0.490000,22.664020
49,-7.083108,-6.650344,-7.900344,-5.400344,informed,none,0.000000,-7,-20.555430,29.026326,0.490000,28.536326
50,-5.950890,-4.882073,-6.132073,-3.632073,informed,none,0.000000,-7,-20.555430,21.100801,0.490000,20.610801
51,-5.496035,-5.618795,-6.868795,-4.368795,noise,none,0.000000,-7,-20.555430,17.916815,0.490000,17.426815
52,-5.645093,-6.543074,-7.793074,-5.293074,noise,sell_to_mm,-7.793074,-6,-12.762356,21.108203,0.360000,20.748203
53,-7.014320,-6.995481,-8.245481,-5.745481,informed,none,0.000000,-6,-12.762356,29.323566,0.360000,28.963566
54,-6.133657,-6.080339,-7.330339,-4.830339,noise,none,0.000000,-6,-12.762356,24.039587,0.360000,23.679587
55,-4.542037,-4.102333,-5.352333,-2.852333,noise,none,0.000000,-6,-12.762356,14.489865,0.360000,14.129865
56,-4.270655,-3.184021,-4.434021,-1.934021,informed,none,0.000000,-6,-12.762356,12.861576,0.360000,12.501576
57,-4.426559,-4.231946,-5.481946,-2.981946,informed,none,0.000000,-6,-12.762356,13.796996,0.360000,13.436996
58,-3.268382,-3.354504,-4.604504,-2.104504,noise,buy_from_mm,-2.104504,-7,-14.866861,8.011813,0.490000,7.521813
59,-1.534790,-1.725705,-2.975705,-0.475705,noise,none,0.000000,-7,-14.866861,-4.123332,0.490000,-4.613332
60,-1.425350,-0.589868,-1.839868,0.660132,noise,sell_to_mm,-1.839868,-6,-13.026992,-4.474893,0.360000,-4.834893
61,-0.250524,-0.233239,-1.483239,1.016761,noise,none,0.000000,-6,-13.026992,-11.523848,0.360000,-11.883848
62,0.555730,0.093371,-1.156629,1.343371,informed,none,0.000000,-6,-13.026992,-16.361370,0.360000,-16.721370
63,0.047930,0.481651,-0.768349,1.731651,noise,none,0.000000,-6,-13.026992,-13.314574,0.360000,-13.674574
