t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,0.796374,-0.254089,-1.254089,0.745911,informed,buy_from_mm,0.745911,-1,0.745911,-0.050463,0.010000,-0.060463
2,1.643126,3.707804,2.707804,4.707804,noise,none,0.000000,-1,0.745911,-0.897215,0.010000,-0.907215
3,2.128078,3.532436,2.532436,4.532436,informed,sell_to_mm,2.532436,0,-1.786526,-1.786526,0.000000,-1.786526
4,2.700885,3.160366,2.160366,4.160366,informed,none,0.000000,0,-1.786526,-1.786526,0.000000,-1.786526
5,3.275619,3.975952,2.975952,4.975952,noise,buy_from_mm,4.975952,-1,3.189426,-0.086193,0.010000,-0.096193
6,3.152012,3.929673,2.929673,4.929673,noise,none,0.000000,-1,3.189426,0.037414,0.010000,0.027414
7,1.640093,2.681975,1.681975,3.681975,informed,sell_to_mm,1.681975,0,1.507451,1.507451,0.000000,1.507451
8,2.469757,4.082718,3.082718,5.082718,informed,sell_to_mm,3.082718,1,-1.575268,0.894489,0.010000,0.884489
9,2.448292,1.947194,0.947194,2.947194,informed,none,0.000000,1,-1.575268,0.873024,0.010000,0.863024
10,4.180294,4.008404,3.008404,5.008404,noise,none,0.000000,1,-1.575268,2.605026,0.010000,2.595026
11,4.136243,5.346924,4.346924,6.346924,noise,none,0.000000,1,-1.575268,2.560975,0.010000,2.550975
12,2.939253,3.040129,2.040129,4.040129,noise,none,0.000000,1,-1.575268,1.363986,0.010000,1.353986
13,3.092188,2.872832,1.872832,3.872832,noise,none,0.000000,1,-1.575268,1.516921,0.010000,1.506921
14,2.220135,2.054740,1.054740,3.054740,informed,none,0.000000,1,-1.575268,0.644868,0.010000,0.634868
15,2.870407,2.774686,1.774686,3.774686,informed,none,0.000000,1,-1.575268,1.295139,0.010000,1.285139
16,1.554295,-0.207382,-1.207382,0.792618,informed,buy_from_mm,0.792618,0,-0.782650,-0.782650,0.000000,-0.782650
17,2.821525,2.989048,1.989048,3.989048,informed,none,0.000000,0,-0.782650,-0.782650,0.000000,-0.782650
18,2.228561,2.304359,1.304359,3.304359,informed,none,0.000000,0,-0.782650,-0.782650,0.000000,-0.782650
19,3.426489,4.422008,3.422008,5.422008,noise,none,0.000000,0,-0.782650,-0.782650,0.000000,-0.782650
