t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.899658,0.231289,-0.768711,1.231289,informed,sell_to_mm,-0.768711,1,0.768711,-0.130947,0.010000,-0.140947
2,1.080232,0.579139,-0.420861,1.579139,informed,none,0.000000,1,0.768711,1.848943,0.010000,1.838943
3,0.902417,0.081446,-0.918554,1.081446,noise,sell_to_mm,-0.918554,2,1.687265,3.492099,0.040000,3.452099
4,0.904075,0.568943,-0.431057,1.568943,informed,none,0.000000,2,1.687265,3.495415,0.040000,3.455415
5,1.475554,-0.252916,-1.252916,0.747084,noise,none,0.000000,2,1.687265,4.638372,0.040000,4.598372
6,1.072346,-0.494682,-1.494682,0.505318,noise,buy_from_mm,0.505318,1,2.192583,3.264928,0.010000,3.254928
7,-1.007952,-2.276889,-3.276889,-1.276889,noise,sell_to_mm,-3.276889,2,5.469472,3.453567,0.040000,3.413567
8,0.023179,-0.823879,-1.823879,0.176121,informed,none,0.000000,2,5.469472,5.515831,0.040000,5.475831
9,1.434863,1.064507,0.064507,2.064507,noise,sell_to_mm,0.064507,3,5.404964,9.709554,0.090000,9.619554
10,1.155030,-1.192370,-2.192370,-0.192370,noise,none,0.000000,3,5.404964,8.870055,0.090000,8.780055
11,2.249310,4.233206,3.233206,5.233206,noise,none,0.000000,3,5.404964,12.152893,0.090000,12.062893
12,3.129909,3.224168,2.224168,4.224168,noise,none,0.000000,3,5.404964,14.794692,0.090000,14.704692
13,2.697958,3.095308,2.095308,4.095308,informed,none,0.000000,3,5.404964,13.498837,0.090000,13.408837
14,3.153988,3.722393,2.722393,4.722393,informed,none,0.000000,3,5.404964,14.866928,0.090000,14.776928
15,3.968320,4.743306,3.743306,5.743306,noise,none,0.000000,3,5.404964,17.309924,0.090000,17.219924
16,3.053443,2.798361,1.798361,3.798361,informed,none,0.000000,3,5.404964,14.565293,0.090000,14.475293
17,4.146294,3.602359,2.602359,4.602359,informed,none,0.000000,3,5.404964,17.843847,0.090000,17.753847
18,3.095177,4.190612,3.190612,5.190612,noise,buy_from_mm,5.190612,2,10.595576,16.785931,0.040000,16.745931
19,4.619522,3.581361,2.581361,4.581361,informed,buy_from_mm,4.581361,1,15.176937,19.796459,0.010000,19.786459
20,5.004926,5.042417,4.042417,6.042417,noise,none,0.000000,1,15.176937,20.181863,0.010000,20.171863
21,6.325541,5.940282,4.940282,6.940282,informed,none,0.000000,1,15.176937,21.502478,0.010000,21.492478
22,5.740918,5.476302,4.476302,6.476302,noise,none,0.000000,1,15.176937,20.917855,0.010000,20.907855
23,4.348548,6.048812,5.048812,7.048812,noise,none,0.000000,1,15.176937,19.525485,0.010000,19.515485
24,5.370611,7.709828,6.709828,8.709828,noise,buy_from_mm,8.709828,0,23.886765,23.886765,0.000000,23.886765
25,6.131055,5.944478,4.944478,6.944478,noise,sell_to_mm,4.944478,1,18.942287,25.073341,0.010000,25.063341
26,5.409259,5.102960,4.102960,6.102960,noise,none,0.000000,1,18.942287,24.351545,0.010000,24.341545
27,5.912510,4.626442,3.626442,5.626442,noise,none,0.000000,1,18.942287,24.854796,0.010000,24.844796
