t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,0.110464,-0.392996,-0.892996,0.107004,informed,buy_from_mm,0.107004,-1,0.107004,-0.003460,0.010000,-0.013460
2,-2.853404,-3.270461,-3.770461,-2.770461,price_sensitive_uninformed,sell_to_mm,-3.770461,0,3.877465,3.877465,0.000000,3.877465
3,-2.380954,-2.389617,-2.889617,-1.889617,price_sensitive_uninformed,buy_from_mm,-1.889617,-1,1.987848,4.368802,0.010000,4.358802
4,-2.222416,-2.805863,-3.305863,-2.305863,price_sensitive_uninformed,sell_to_mm,-3.305863,0,5.293711,5.293711,0.000000,5.293711
5,-1.725983,-1.741002,-2.241002,-1.241002,informed,none,0.000000,0,5.293711,5.293711,0.000000,5.293711
6,-2.917040,-3.289923,-3.789923,-2.789923,informed,none,0.000000,0,5.293711,5.293711,0.000000,5.293711
7,-2.640216,-3.591322,-4.091322,-3.091322,price_sensitive_uninformed,none,0.000000,0,5.293711,5.293711,0.000000,5.293711
8,-2.551565,-1.885267,-2.385267,-1.385267,price_sensitive_uninformed,none,0.000000,0,5.293711,5.293711,0.000000,5.293711
9,-2.852305,-2.394421,-2.894421,-1.894421,price_sensitive_uninformed,none,0.000000,0,5.293711,5.293711,0.000000,5.293711
10,-3.158925,-0.954339,-1.454339,-0.454339,price_sensitive_uninformed,sell_to_mm,-1.454339,1,6.748050,3.589124,0.010000,3.579124
11,-4.268075,-5.706880,-6.206880,-5.206880,price_sensitive_uninformed,none,0.000000,1,6.748050,2.479975,0.010000,2.469975
12,-4.658743,-3.867746,-4.367746,-3.367746,price_sensitive_uninformed,sell_to_mm,-4.367746,2,11.115796,1.798310,0.040000,1.758310
13,-4.729390,-4.377815,-4.877815,-3.877815,price_sensitive_uninformed,buy_from_mm,-3.877815,1,7.237980,2.508590,0.010000,2.498590
14,-6.552714,-7.341277,-7.841277,-6.841277,informed,buy_from_mm,-6.841277,0,0.396703,0.396703,0.000000,0.396703
15,-5.379020,-6.187656,-6.687656,-5.687656,price_sensitive_uninformed,none,0.000000,0,0.396703,0.396703,0.000000,0.396703
16,-4.267342,-3.378687,-3.878687,-2.878687,price_sensitive_uninformed,sell_to_mm,-3.878687,1,4.275390,0.008048,0.010000,-0.001952
17,-5.920812,-5.903946,-6.403946,-5.403946,informed,none,0.000000,1,4.275390,-1.645422,0.010000,-1.655422
18,-5.062979,-5.592631,-6.092631,-5.092631,price_sensitive_uninformed,none,0.000000,1,4.275390,-0.787589,0.010000,-0.797589
19,-3.581450,-4.291179,-4.791179,-3.791179,price_sensitive_uninformed,buy_from_mm,-3.791179,0,0.484211,0.484211,0.000000,0.484211
20,-2.783507,-3.744250,-4.244250,-3.244250,informed,buy_from_mm,-3.244250,-1,-2.760039,0.023468,0.010000,0.013468
21,-3.673869,-4.242966,-4.742966,-3.742966,price_sensitive_uninformed,none,0.000000,-1,-2.760039,0.913830,0.010000,0.903830
22,-3.467673,-3.462304,-3.962304,-2.962304,informed,none,0.000000,-1,-2.760039,0.707634,0.010000,0.697634
23,-4.218445,-3.798658,-4.298658,-3.298658,informed,none,0.000000,-1,-2.760039,1.458407,0.010000,1.448407
24,-5.041830,-5.426412,-5.926412,-4.926412,price_sensitive_uninformed,buy_from_mm,-4.926412,-2,-7.686451,2.397208,0.040000,2.357208
