t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.651442,-2.735881,-3.735881,-1.735881,informed,buy_from_mm,-1.735881,-1,-1.735881,-1.084438,0.010000,-1.094438
2,-0.346879,7.276830,6.286830,8.286830,noise,none,0.000000,-1,-1.735881,-1.389002,0.010000,-1.399002
3,-0.784398,-4.987547,-5.977547,-3.977547,noise,none,0.000000,-1,-1.735881,-0.951482,0.010000,-0.961482
4,-0.515073,-3.973212,-4.963212,-2.963212,noise,sell_to_mm,-4.963212,0,3.227331,3.227331,0.000000,3.227331
5,-0.647472,-0.049004,-1.049004,0.950996,informed,none,0.000000,0,3.227331,3.227331,0.000000,3.227331
6,-1.749207,0.352901,-0.647099,1.352901,informed,sell_to_mm,-0.647099,1,3.874430,2.125223,0.010000,2.115223
7,-3.296969,-5.169781,-6.179781,-4.179781,noise,none,0.000000,1,3.874430,0.577461,0.010000,0.567461
8,-1.675870,-3.460421,-4.470421,-2.470421,noise,none,0.000000,1,3.874430,2.198560,0.010000,2.188560
9,-0.779190,-0.476246,-1.486246,0.513754,noise,buy_from_mm,0.513754,0,4.388184,4.388184,0.000000,4.388184
10,-0.552607,3.319882,2.319882,4.319882,noise,buy_from_mm,4.319882,-1,8.708065,9.260672,0.010000,9.250672
11,-0.376083,-0.606962,-1.596962,0.403038,noise,buy_from_mm,0.403038,-2,9.111104,9.863270,0.040000,9.823270
12,-1.933414,8.472659,7.492659,9.492659,noise,none,0.000000,-2,9.111104,12.977931,0.040000,12.937931
13,-3.124526,-2.175613,-3.155613,-1.155613,informed,none,0.000000,-2,9.111104,15.360156,0.040000,15.320156
14,-2.797289,1.182886,0.202886,2.202886,informed,sell_to_mm,0.202886,-1,8.908217,11.705506,0.010000,11.695506
15,-2.202903,1.299377,0.309377,2.309377,noise,none,0.000000,-1,8.908217,11.111120,0.010000,11.101120
16,-2.092960,1.154408,0.164408,2.164408,informed,sell_to_mm,0.164408,0,8.743809,8.743809,0.000000,8.743809
17,-3.787120,-9.340662,-10.340662,-8.340662,noise,none,0.000000,0,8.743809,8.743809,0.000000,8.743809
18,-3.853093,-0.760146,-1.760146,0.239854,informed,sell_to_mm,-1.760146,1,10.503955,6.650862,0.010000,6.640862
19,-3.380282,0.172078,-0.837922,1.162078,noise,sell_to_mm,-0.837922,2,11.341877,4.581314,0.040000,4.541314
20,-4.039980,1.020053,0.000053,2.000053,noise,none,0.000000,2,11.341877,3.261918,0.040000,3.221918
21,-5.538117,-9.397194,-10.417194,-8.417194,noise,none,0.000000,2,11.341877,0.265644,0.040000,0.225644
22,-7.096853,-8.496410,-9.516410,-7.516410,informed,buy_from_mm,-7.516410,1,3.825467,-3.271386,0.010000,-3.281386
23,-7.351512,1.246630,0.236630,2.236630,informed,sell_to_mm,0.236630,2,3.588837,-11.114187,0.040000,-11.154187
24,-7.398328,-3.105153,-4.125153,-2.125153,informed,sell_to_mm,-4.125153,3,7.713990,-14.480995,0.090000,-14.570995
25,-7.429587,0.550482,-0.479518,1.520482,informed,sell_to_mm,-0.479518,4,8.193508,-21.524839,0.160000,-21.684839
26,-5.861299,-12.492479,-13.532479,-11.532479,informed,buy_from_mm,-11.532479,3,-3.338971,-20.922869,0.090000,-21.012869
27,-5.401800,0.194005,-0.835995,1.164005,noise,buy_from_mm,1.164005,2,-2.174966,-12.978565,0.040000,-13.018565
28,-5.122007,-5.315631,-6.335631,-4.335631,noise,sell_to_mm,-6.335631,3,4.160666,-11.205354,0.090000,-11.295354
29,-6.419102,-6.487737,-7.517737,-5.517737,noise,none,0.000000,3,4.160666,-15.096640,0.090000,-15.186640
30,-5.969247,-8.850253,-9.880253,-7.880253,noise,none,0.000000,3,4.160666,-13.747076,0.090000,-13.837076
31,-8.417435,-10.800461,-11.830461,-9.830461,noise,none,0.000000,3,4.160666,-21.091641,0.090000,-21.181641
32,-8.240784,-6.998375,-8.028375,-6.028375,informed,sell_to_mm,-8.028375,4,12.189041,-20.774096,0.160000,-20.934096
33,-10.049552,-5.317417,-6.357417,-4.357417,noise,none,0.000000,4,12.189041,-28.009168,0.160000,-28.169168
34,-10.833547,-12.546460,-13.586460,-11.586460,noise,sell_to_mm,-13.586460,5,25.775501,-28.392232,0.250000,-28.642232
35,-10.982650,-12.322313,-13.372313,-11.372313,informed,buy_from_mm,-11.372313,4,14.403188,-29.527414,0.160000,-29.687414
36,-11.142273,-15.331870,-16.371870,-14.371870,noise,none,0.000000,4,14.403188,-30.165905,0.160000,-30.325905
37,-12.310652,-14.039797,-15.079797,-13.079797,noise,none,0.000000,4,14.403188,-34.839418,0.160000,-34.999418
38,-13.428996,-18.301133,-19.341133,-17.341133,noise,sell_to_mm,-19.341133,5,33.744321,-33.400660,0.250000,-33.650660
