t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-1.341550,-0.249947,-0.749947,0.250053,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
2,-0.186132,0.064558,-0.435442,0.564558,noise,none,0.000000,0,0.000000,0.000000,0.000000,0.000000
3,-0.399450,1.145625,0.645625,1.645625,informed,sell_to_mm,0.645625,1,-0.645625,-1.045076,0.010000,-1.055076
4,-1.298468,-3.161552,-3.661552,-2.661552,informed,buy_from_mm,-2.661552,0,-3.307178,-3.307178,0.000000,-3.307178
5,-1.609767,-3.135769,-3.635769,-2.635769,noise,none,0.000000,0,-3.307178,-3.307178,0.000000,-3.307178
6,-1.088871,-1.266457,-1.766457,-0.766457,noise,none,0.000000,0,-3.307178,-3.307178,0.000000,-3.307178
7,-1.369206,-2.111424,-2.611424,-1.611424,noise,none,0.000000,0,-3.307178,-3.307178,0.000000,-3.307178
8,-1.298126,-1.652304,-2.152304,-1.152304,informed,none,0.000000,0,-3.307178,-3.307178,0.000000,-3.307178
9,-1.932991,-1.114597,-1.614597,-0.614597,noise,none,0.000000,0,-3.307178,-3.307178,0.000000,-3.307178
10,-1.625994,-3.740027,-4.240027,-3.240027,noise,sell_to_mm,-4.240027,1,0.932849,-0.693145,0.010000,-0.703145
11,-1.146079,-0.282776,-0.782776,0.217224,noise,none,0.000000,1,0.932849,-0.213229,0.010000,-0.223229
12,0.430886,0.852588,0.352588,1.352588,noise,buy_from_mm,1.352588,0,2.285438,2.285438,0.000000,2.285438
13,1.229917,0.899908,0.399908,1.399908,noise,none,0.000000,0,2.285438,2.285438,0.000000,2.285438
14,1.579031,2.189215,1.689215,2.689215,noise,none,0.000000,0,2.285438,2.285438,0.000000,2.285438
15,2.006115,3.389706,2.889706,3.889706,informed,sell_to_mm,2.889706,1,-0.604268,1.401846,0.010000,1.391846
16,0.734799,1.354945,0.854945,1.854945,noise,none,0.000000,1,-0.604268,0.130531,0.010000,0.120531
17,2.126988,2.570280,2.070280,3.070280,noise,none,0.000000,1,-0.604268,1.522720,0.010000,1.512720
18,0.718562,-0.657349,-1.157349,-0.157349,informed,buy_from_mm,-0.157349,0,-0.761617,-0.761617,0.000000,-0.761617
19,-1.585459,-1.242266,-1.742266,-0.742266,noise,none,0.000000,0,-0.761617,-0.761617,0.000000,-0.761617
20,-1.053478,-1.635464,-2.135464,-1.135464,noise,none,0.000000,0,-0.761617,-0.761617,0.000000,-0.761617
