file,strategy,noise,run,final_pnl,final_risk_adj_pnl,max_abs_inventory,num_trades,avg_edge_per_trade
data/fixed_noise_1_run_10.csv,fixed,1.0,10,27.26778,24.37778,23,617,0.2740009141004861
data/fixed_noise_1_run_11.csv,fixed,1.0,11,284.390078,261.350078,51,586,0.3812883703071674
data/fixed_noise_1_run_12.csv,fixed,1.0,12,391.870241,391.620241,24,583,0.37214381475128655
data/fixed_noise_1_run_13.csv,fixed,1.0,13,580.194179,579.704179,18,603,0.3576394179104477
data/fixed_noise_1_run_14.csv,fixed,1.0,14,-80.74851,-80.75851,16,617,0.32972470502431117
data/fixed_noise_1_run_15.csv,fixed,1.0,15,911.143854,905.853854,27,635,0.37526437480314917
data/fixed_noise_1_run_16.csv,fixed,1.0,16,-587.795876,-588.435876,23,614,0.3243668697068402
data/fixed_noise_1_run_17.csv,fixed,1.0,17,36.182857,34.222857,21,582,0.30352785738831617
data/fixed_noise_1_run_18.csv,fixed,1.0,18,681.102642,680.462642,29,640,0.3477727249999996
data/fixed_noise_1_run_19.csv,fixed,1.0,19,174.514514,174.474514,24,628,0.3749089394904458
data/fixed_noise_1_run_2.csv,fixed,1.0,2,-38.970087,-42.970087,32,618,0.3791650161812291
data/fixed_noise_1_run_20.csv,fixed,1.0,20,1021.987178,1011.747178,42,630,0.39133560952380936
data/fixed_noise_1_run_21.csv,fixed,1.0,21,-59.678944,-60.488944,14,601,0.38778126455906836
data/fixed_noise_1_run_22.csv,fixed,1.0,22,656.886507,656.876507,23,599,0.34750990150250477
data/fixed_noise_1_run_23.csv,fixed,1.0,23,-59.667146,-59.677146,15,623,0.3870666982343498
data/fixed_noise_1_run_24.csv,fixed,1.0,24,339.372526,338.732526,26,648,0.38075363117283934
data/fixed_noise_1_run_25.csv,fixed,1.0,25,380.873565,380.513565,17,632,0.3964252705696204
data/fixed_noise_1_run_26.csv,fixed,1.0,26,786.961209,785.001209,23,650,0.40653666153846146
data/fixed_noise_1_run_27.csv,fixed,1.0,27,412.852353,412.492353,12,608,0.33579189967105255
data/fixed_noise_1_run_28.csv,fixed,1.0,28,-424.887164,-449.887164,52,618,0.3536999433656961
data/fixed_noise_1_run_29.csv,fixed,1.0,29,-18.077295,-18.117295,18,600,0.36930940666666684
data/fixed_noise_1_run_3.csv,fixed,1.0,3,-1145.088357,-1162.728357,57,624,0.3614732932692305
data/fixed_noise_1_run_30.csv,fixed,1.0,30,320.944529,320.784529,20,620,0.37332630967742003
data/fixed_noise_1_run_31.csv,fixed,1.0,31,27.649863,27.489863,12,604,0.3763195993377484
data/fixed_noise_1_run_32.csv,fixed,1.0,32,471.643142,471.483142,20,620,0.30454312741935474
data/fixed_noise_1_run_33.csv,fixed,1.0,33,1527.922718,1525.962718,27,624,0.3955246858974361
data/fixed_noise_1_run_34.csv,fixed,1.0,34,377.956819,373.956819,27,656,0.37337532469512236
data/fixed_noise_1_run_35.csv,fixed,1.0,35,635.228667,633.538667,28,641,0.3212801716068645
data/fixed_noise_1_run_36.csv,fixed,1.0,36,1086.954258,1081.664258,33,605,0.3785996512396693
data/fixed_noise_1_run_37.csv,fixed,1.0,37,-301.644432,-302.004432,26,586,0.3091428924914673
data/fixed_noise_1_run_38.csv,fixed,1.0,38,-570.914298,-574.914298,42,606,0.3591551105610564
data/fixed_noise_1_run_39.csv,fixed,1.0,39,-195.718439,-206.608439,35,629,0.3873536009538952
data/fixed_noise_1_run_4.csv,fixed,1.0,4,200.925991,200.565991,20,634,0.4608426545741316
data/fixed_noise_1_run_40.csv,fixed,1.0,40,-307.793803,-318.683803,47,587,0.292980940374787
data/fixed_noise_1_run_41.csv,fixed,1.0,41,413.62674,407.86674,41,634,0.4116434826498421
data/fixed_noise_1_run_42.csv,fixed,1.0,42,1315.620256,1309.860256,28,604,0.45326392549668837
data/fixed_noise_1_run_43.csv,fixed,1.0,43,476.998469,467.998469,30,612,0.3401552467320262
data/fixed_noise_1_run_44.csv,fixed,1.0,44,-1309.667617,-1314.957617,23,597,0.3289024405360137
data/fixed_noise_1_run_45.csv,fixed,1.0,45,315.375332,314.375332,22,618,0.38606840453074387
data/fixed_noise_1_run_46.csv,fixed,1.0,46,503.785504,462.825504,68,624,0.39864890064102554
data/fixed_noise_1_run_47.csv,fixed,1.0,47,387.714067,385.154067,16,622,0.331692892282958
data/fixed_noise_1_run_48.csv,fixed,1.0,48,1827.972766,1820.682766,33,629,0.2967594833068364
data/fixed_noise_1_run_49.csv,fixed,1.0,49,649.588627,645.588627,26,642,0.3428076978193144
data/fixed_noise_1_run_5.csv,fixed,1.0,5,169.870791,163.110791,34,598,0.4039226806020067
data/fixed_noise_1_run_50.csv,fixed,1.0,50,245.685513,243.125513,26,616,0.40303681006493497
data/fixed_noise_1_run_6.csv,fixed,1.0,6,485.629912,482.389912,19,616,0.4050025795454548
data/fixed_noise_1_run_7.csv,fixed,1.0,7,261.47917,256.63917,28,618,0.43887966828478975
data/fixed_noise_1_run_8.csv,fixed,1.0,8,341.630376,341.620376,21,609,0.38995779638752054
data/fixed_noise_1_run_9.csv,fixed,1.0,9,507.328606,499.488606,34,620,0.32407779193548425
data/fixed_noise_2_run_1.csv,fixed,2.0,1,-44.697861,-48.697861,30,862,-0.3348652273781905
data/fixed_noise_2_run_10.csv,fixed,2.0,10,-14.468348,-14.468348,28,864,-0.4521492499999994
data/fixed_noise_2_run_11.csv,fixed,2.0,11,69.906455,55.466455,38,834,-0.30186206834532375
data/fixed_noise_2_run_12.csv,fixed,2.0,12,37.155801,36.155801,32,850,-0.3256849329411762
data/fixed_noise_2_run_13.csv,fixed,2.0,13,399.317581,395.317581,42,818,-0.3181405782396091
data/fixed_noise_2_run_14.csv,fixed,2.0,14,-697.661799,-698.021799,27,856,-0.38109879439252325
data/fixed_noise_2_run_15.csv,fixed,2.0,15,-76.833589,-79.393589,24,898,-0.3112808129175944
data/fixed_noise_2_run_16.csv,fixed,2.0,16,-1681.850511,-1704.890511,59,850,-0.37836487647058836
data/fixed_noise_2_run_17.csv,fixed,2.0,17,-336.429594,-336.679594,16,833,-0.4153269303721486
data/fixed_noise_2_run_18.csv,fixed,2.0,18,183.251899,182.441899,29,869,-0.3596312013808978
data/fixed_noise_2_run_19.csv,fixed,2.0,19,-133.274736,-133.274736,29,880,-0.31766499545454524
data/fixed_noise_2_run_2.csv,fixed,2.0,2,-10.432173,-10.792173,28,846,-0.3088747033096925
data/fixed_noise_2_run_20.csv,fixed,2.0,20,-373.693099,-374.333099,19,852,-0.2790094377934272
data/fixed_noise_2_run_21.csv,fixed,2.0,21,-85.80844,-85.96844,16,848,-0.2926583844339625
data/fixed_noise_2_run_22.csv,fixed,2.0,22,305.400381,301.400381,28,838,-0.36368895823389036
data/fixed_noise_2_run_23.csv,fixed,2.0,23,-1532.584564,-1533.794564,25,875,-0.2928841782857145
data/fixed_noise_2_run_24.csv,fixed,2.0,24,245.918038,240.628038,37,859,-0.2935348894062867
data/fixed_noise_2_run_25.csv,fixed,2.0,25,-584.094812,-588.504812,35,895,-0.2843918446927374
data/fixed_noise_2_run_26.csv,fixed,2.0,26,-207.218256,-207.258256,18,890,-0.2650976629213481
data/fixed_noise_2_run_27.csv,fixed,2.0,27,-85.544738,-85.904738,17,856,-0.36679709929906557
