t,true_value,signal,bid,ask,trader_type,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1,-0.604888,0.842480,-0.157520,1.842480,noise,sell_to_mm,-0.157520,1,0.157520,-0.447368,0.010000,-0.457368
2,-1.527404,0.362985,-0.637015,1.362985,noise,none,0.000000,1,0.157520,-1.369884,0.010000,-1.379884
3,-0.824237,0.826857,-0.173143,1.826857,informed,sell_to_mm,-0.173143,2,0.330663,-1.317812,0.040000,-1.357812
4,-0.783339,-2.910342,-3.910342,-1.910342,informed,buy_from_mm,-1.910342,1,-1.579679,-2.363018,0.010000,-2.373018
5,-1.046406,-2.127409,-3.127409,-1.127409,informed,buy_from_mm,-1.127409,0,-2.707088,-2.707088,0.000000,-2.707088
6,-2.021958,-4.889703,-5.889703,-3.889703,informed,buy_from_mm,-3.889703,-1,-6.596790,-4.574832,0.010000,-4.584832
7,-1.426390,-4.717984,-5.717984,-3.717984,noise,none,0.000000,-1,-6.596790,-5.170400,0.010000,-5.180400
8,-0.940525,1.197483,0.197483,2.197483,informed,sell_to_mm,0.197483,0,-6.794273,-6.794273,0.000000,-6.794273
9,0.390186,5.317045,4.317045,6.317045,noise,sell_to_mm,4.317045,1,-11.111318,-10.721132,0.010000,-10.731132
10,2.398553,6.360632,5.360632,7.360632,noise,none,0.000000,1,-11.111318,-8.712765,0.010000,-8.722765
11,2.237134,-2.057033,-3.057033,-1.057033,noise,none,0.000000,1,-11.111318,-8.874184,0.010000,-8.884184
12,2.983274,6.767185,5.767185,7.767185,informed,sell_to_mm,5.767185,2,-16.878503,-10.911956,0.040000,-10.951956
13,3.702391,9.429730,8.429730,10.429730,informed,sell_to_mm,8.429730,3,-25.308234,-14.201060,0.090000,-14.291060
14,4.126636,6.112765,5.112765,7.112765,noise,sell_to_mm,5.112765,4,-30.420999,-13.914454,0.160000,-14.074454
15,3.939582,-1.517860,-2.517860,-0.517860,noise,none,0.000000,4,-30.420999,-14.662669,0.160000,-14.822669
16,6.053541,9.037427,8.037427,10.037427,noise,none,0.000000,4,-30.420999,-6.206836,0.160000,-6.366836
17,4.179621,5.859148,4.859148,6.859148,noise,none,0.000000,4,-30.420999,-13.702515,0.160000,-13.862515
18,5.378064,4.273865,3.273865,5.273865,noise,buy_from_mm,5.273865,3,-25.147133,-9.012941,0.090000,-9.102941
19,5.555886,7.814544,6.814544,8.814544,noise,none,0.000000,3,-25.147133,-8.479474,0.090000,-8.569474
20,4.969124,10.192786,9.192786,11.192786,informed,sell_to_mm,9.192786,4,-34.339919,-14.463422,0.160000,-14.623422
21,4.673437,1.329822,0.329822,2.329822,informed,buy_from_mm,2.329822,3,-32.010096,-17.989786,0.090000,-18.079786
22,5.404166,6.209976,5.209976,7.209976,informed,none,0.000000,3,-32.010096,-15.797597,0.090000,-15.887597
23,3.228999,1.824483,0.824483,2.824483,informed,buy_from_mm,2.824483,2,-29.185613,-22.727615,0.040000,-22.767615
24,0.906554,-1.098974,-2.098974,-0.098974,noise,none,0.000000,2,-29.185613,-27.372505,0.040000,-27.412505
